Year	Generated	Disposed	Recycled	Recycle Rate
2000	123,024	101,883	21,141	17.2%
2001	124,453	102,305	22,148	17.8%
2002	125,710	102,981	22,729	18.1%
2003	123,597	101,232	22,365	18.1%
2004	122,819	99,750	23,069	18.8%
2005	124,364	100,499	23,865	19.2%
2006	127,444	103,429	24,015	18.8%
2007	132,545	107,098	25,447	19.2%
2008	111,229	90,814	20,415	18.4%
2009	97,893	81,565	16,328	16.7%
2010	91,618	79,293	12,325	13.5%
2011	81,776	71,033	10,743	13.1%
2012	80,568	70,474	10,094	12.5%
2013	84,341	74,019	10,322	12.2%
2014	64,681	57,847	6,834	10.6%
2015	67,993	60,938	7,055	10.4%
