Year	Generated	Disposed	Recycled	Recycle Rate
2000	391,406	228,417	162,989	41.6%
2001	377,927	228,405	149,522	39.6%
2002	366,224	217,195	149,029	40.7%
2003	339,844	213,247	126,597	37.3%
2004	375,739	216,112	159,627	42.5%
2005	385,093	205,637	179,456	46.6%
2006	416,564	201,231	215,333	51.7%
2007	418,979	198,968	220,011	52.5%
2008	390,267	176,774	213,493	54.7%
2009	335,992	151,398	184,593	54.9%
2010	345,692	142,180	203,511	58.9%
2011	351,214	135,536	215,678	61.4%
2012	347,673	134,089	213,584	61.4%
2013	356,480	132,401	224,079	62.9%
2014	369,407	139,457	229,950	62.2%
2015	370,237	139,557	230,680	62.3%
