Year	Generated	Disposed	Recycled	Recycle Rate
2000	793,842	476,132	317,710	40.0%
2001	782,809	475,270	307,539	39.3%
2002	768,346	463,086	305,260	39.7%
2003	741,094	458,011	283,083	38.2%
2004	780,044	458,389	321,655	41.2%
2005	790,457	440,693	349,763	44.2%
2006	836,499	438,381	398,118	47.6%
2007	848,759	439,407	409,352	48.2%
2008	789,608	394,748	394,860	50.0%
2009	719,424	351,689	367,735	51.1%
2010	724,468	335,570	388,898	53.7%
2011	715,996	319,341	396,655	55.4%
2012	713,803	315,966	397,837	55.7%
2013	724,383	317,258	407,125	56.2%
2014	721,269	309,515	411,754	57.1%
2015	720,904	302,467	418,437	58.0%
