ProviderID	Provider Name	Provider Address	City	Zip	Phone	Phone Ext	Hours	Material Handled	Service Description	Restrictions	Minimum Volume	Maximum Volume	Fee	Serves Residential	Serves Business	Pickup Allowed	Dropoff Allowed	Mail In Allowed	TIBN	eCycle	Provider URL
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Air Conditioners, Heat Pumps	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Other Major Appliances	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Refrigerators, Freezers	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Small Household Appliances	Recycles any stainless steel appliances and kitchen fixtures, most scrap metals.					TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Cell Phones, Smart Phones, Mobile Devices	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Monitors	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Computers, Laptops, Tablets	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	TVs	http://www.acemetalco.com/Services.html	http://www.acemetalco.com/Services.html				TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Aluminum Cans	Recycles most scrap metals.	No Scrap that contains Asbestos material, Excessively greasy or oily scrap, no hazardous or toxic waste.			Call	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
663	Ace Metal Company	11110 Mukilteo Spdwy, Ste 202	Mukilteo	98275	(425) 493-6802		Mon - Fri: 8am - 6pm  Sat:  8am - 3pm	Ferrous Metals	Recycles most scrap metals.	No Scrap that contains Asbestos material, Excessively greasy or oily scrap, no hazardous or toxic waste.			Call	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	http://www.acemetalco.com
